State_Country,BG_original,MM_name,GX_name,CS_name
Yugoslavia,796,796,Yu796,Yu796_NS
Illinois,4226,4226,4226,4226
Indiana,4722,4722,4722,4722
Indiana,33-16,33-16,33-16,33-16
Indiana,38-11,38-11,38-11Goodman-Buckler,38-11
USDA,81-1,,,
Minnesota,A188,A188,A188,A188
South Africa,A214N,A214N,A214NGoodman-Buckler,A214N
Minnesota,A239,A239,A239,A239
South Africa,A272,,,
South Africa,A441-5,,A441-5,
Minnesota,A554,A554,A554,A554
Minnesota,A556,A556,A556,A556
Pioneer,A6,,A6,
Minnesota,A619,A619,A619,A619
Minnesota,A632,A632,A632,A632
Minnesota,A634,A634,A634,A634
Minnesota,A635,A635,A635,A635
Minnesota,A641,A641,A641,A641
Minnesota,A654,A654,A654,A654
Minnesota,A659,A659,A659,A659
Minnesota,A661,A661,A661,A661
Minnesota,A679,A679,A679,A679
Minnesota,A680,A680,A680,A680
Minnesota,A682,A682,A682,A682
Alabama,Ab28A,,Ab28A,
Iowa,B10,B10,B10,B10
Iowa,B103,B103,B103,B103
Iowa,B104,B104,B104,B104
Iowa,B105,B105,B105,B105
Iowa,B109,B109,B109,B109
Iowa,B115,,,
Iowa,B14A,B14A,B14A,B14A
Minnesota,B164,B164,B164,B164
Missouri,B2,B2,B2,B2
Iowa,B37,B37,B37,B37
Iowa,B46,B46,B46,B46
Iowa,B52,,B52,
Iowa,B57,B57,B57,B57
Iowa,B64,B64,B64,B64
Iowa,B68,B68,B68,B68
Iowa,B73,B73,B73,B73
Iowa,B73Htrhm,B73HTRHM,B73Htrhm,B73Htrhm
Iowa,B75,B75,B75,B75
Iowa,B76,B76,B76,B76
Iowa,B77,B77,B77,B77
Iowa,B79,B79,B79,B79
Iowa,B84,B84,B84,B84
Iowa,B97,B97,B97,B97
Connecticut,C103,C103,C103,C103
Connecticut,C123,C123,C123,C123
Minnesota,C49,C49,,C49
Minnesota,C49A,C49A,C49A,C49A
Canada - Harrow,CH701-30,CH701-30,CH701-30,CH701-30
Canada - Harrow,CH9,CH9,CH9,CH9
USDA,CI7,CI7,Ci7Goodman-Buckler,CI7Goodman-Buckler
USDA,CI187-2,CI187-2,CI187-2,CI187-2
USDA,CI21E,,CI21E,
USDA,CI28A,,CI28AGoodman-Buckler,
USDA,CI31A,CI31A,CI31A,CI31A
USDA,CI3A,CI3A,CI3A,CI3A
USDA,CI44,CI44,,CI44
USDA,CI64,CI64,CI64,CI64
USDA,CI66,,CI66,
USDA,CI90C,CI90C,Ci90CGoodman-Buckler,CI90C
USDA,CI91B,,Ci91BGoodman-Buckler,
Canada-Morden,CM105,CM105,CM105,CM105
Canada-Morden,CM174,CM174,CM174,CM174
Canada-Morden,CM37,CM37,CM37,CM37
Canada-Morden,CM7,CM7,CM7,CM7
Mexico,CML10,CML10,CML10,CML10
Mexico,CML103,CML103,CML103,CML103
Mexico,CML108,CML108,CML108,CML108
Mexico,CML11,,CML11,
Mexico,CML14,,CML14,
Mexico,CML154Q,CML154Q,CML154Q,CML154Q
Mexico,CML157Q,,CML157Q,
Mexico,CML158Q,CML158Q,CML158Q,CML158Q
Mexico,CML218,CML218,CML218,CML218
Mexico,CML220,CML220,CML220,CML220
Mexico,CML228,CML228,CML228,
Mexico,CML238,,CML238,
Mexico,CML247,,CML247,
Mexico,CML254,CML254,CML254,CML254
Mexico,CML258,,CML258,
Mexico,CML261,CML261,CML261,CML261
Mexico,CML264,,CML264,
Mexico,CML277,CML277,CML277,CML277
Mexico,CML281,,CML281,
Mexico,CML287,CML287,CML287,CML287
Mexico,CML311,,CML311,
Mexico,CML314,CML314,CML314,CML314
Mexico,CML321,CML321,CML321,CML321
Mexico,CML322,CML322,CML322,CML322
Mexico,CML323,CML323,CML323,CML323
Mexico,CML328,,CML328,
Mexico,CML331,,CML331,
Mexico,CML332,,CML332,
Mexico,CML333,CML333,CML333,CML333
Mexico,CML341,,CML341,
Mexico,CML349,,,
Mexico,CML38,,CML38,
Mexico,CML45,,CML45,
Mexico,CML5,,CML5,
Mexico,CML52,CML52,CML52,CML52
Mexico,CML61,,CML61,
Mexico,CML69,CML69,CML69,CML69
Mexico,CML77,,CML77,
Mexico,CML9,,,
Mexico,CML91,,CML91,
Mexico,CML92,,CML92,
Minnesota,CMV3,CMV3,CMV3,CMV3
Canada-Ottawa,CO106,CO106,CO106,CO106
Canada-Ottawa,CO109,CO109,,CO109
Canada-Ontario,CO125,CO125,CO125,CO125
Canada-Ottawa,CO255,CO255,CO255,CO255
South Africa,D940Y,,D940Y,
Delaware B,DE2,DE2,DE-2,DE2
Delaware B,DEexpt,,,
Delaware B,DE1,DE1,DE1,DE1
Delaware,DE811,DE811,DE811,DE811
South Africa,E2558W,E2558W,E2558W,E2558W
Spain,EP1,EP1,EP1,EP1
France-Peronne,F2,F2,,F2
South Africa,F2834T,F2834T,F2834T,F2834T
Florida,F44,F44,F44,F44
Florida,F6,,F6,
France-Peronne,F7,F7,F7,F7
Georgia,GA209,GA209,GA209,GA209
Georgia,GT112,,GT112,
Indiana,H100,H100,,H100
Indiana,H105W,H105W,H105W,H105W
Indiana,H49,,H49,
Indiana,H84,H84,H84,H84
Indiana,H91,H91,H91,H91
Indiana,H95,H95,H95,H95
Indiana,H99,H99,H99,H99
Hawaii,Hi27,,Hi27Goodman-Buckler,
Indiana,HP301,HP301,HP301,HP301
Illinois,Hy,HY,ILLHy,Ill.Hy
South Africa,I137TN,,I137TN,
Iowa,I205,,I205,
Iowa,I29,I29,I29,I29
Iowa,IA2132,IA2132,IA2132Goodman-Buckler,IA2132
Iowa,Ia5125,IA5125,Ia5125,Ia5125
Iowa,IDS28,IDS28,IDS28,IDS28
Iowa,IDS69,,IDS69,
Iowa,IDS91,IDS91,IDS91,IDS91
Illinois,IL101,IL101,Il101,Il101T
Illinois,IL14H,IL14H,Il14H,Il14H
Illinois,IL677A,IL677A,i1677a,Il677a
Kansas,K148,,K148,
Kansas,K4,K4,K4,K4
Kansas,K55,K55,K55,K55
Kansas,K64,K64,K64,K64
Thailand,Ki11,KI11,Ki11,Ki11
Thailand,Ki14,,Ki14,
Thailand,Ki2007,,,
Thailand,Ki2021,KI2021,Ki2021,KUI2021
Thailand,Ki21,,Ki21,
Thailand,Ki3,,KI3,
Thailand,Ki43,,Ki43,
Thailand,Ki44,KI44,Ki44,Ki44
Kentucky,Ky21,,Ky21,
Kentucky,Ky226,KY226,KY226,Ky226
Kentucky,Ky228,,KY228,
Iowa,L317,L317,L317,L317
