Row	sb	spb	Rep	Row.Numbers	Genotype	Pedigree	Treatment	date	Canopy_Coverage	ExG	RGB	NGR	GLI	MGR	VARI	VEG	Woebbecke
1001	sb1	spb1	1	1001 and 1002	A641	Ames 19311	HN	12-Aug	9.793072884	0.312424562	0.465959226	0.110525704	0.229998643	0.220705178	0.197112662	5.115124656	21.82008905
1001	sb1	spb1	1	1001 and 1002	A641	Ames 19311	HN	14-Aug	8.330185806	0.241414817	0.361462843	0.077651971	0.177785503	0.155103639	0.138461731	4.179832134	20.4792745
1001	sb1	spb1	1	1001 and 1002	A641	Ames 19311	HN	16-Aug	11.57320106	0.519416907	0.764529492	0.349263275	0.382574141	0.69655494	0.65926756	8.91226829	11.90717135
1001	sb1	spb1	1	1001 and 1002	A641	Ames 19311	HN	20-Aug	10.17970038	0.272260212	0.404604099	0.114073212	0.200423171	0.227611813	0.206926289	4.557003728	16.77388857
1001	sb1	spb1	1	1001 and 1002	A641	Ames 19311	HN	22-Aug	19.03728342	0.333313522	0.491420156	0.153342803	0.244428425	0.305787968	0.272843827	4.658833062	13.81243783
1001	sb1	spb1	1	1001 and 1002	A641	Ames 19311	HN	23-Aug	15.53797676	0.31180663	0.455708933	0.155694627	0.226960422	0.309237761	0.27413251	3.466827988	9.428968113
1001	sb1	spb1	1	1001 and 1002	A641	Ames 19311	HN	26-Aug	21.37886909	0.398061376	0.589175937	0.147043399	0.291032897	0.293091822	0.253491449	5.247988782	24.15391713
1001	sb1	spb1	1	1001 and 1002	A641	Ames 19311	HN	30-Aug	9.94554188	0.290232293	0.432929391	0.099068771	0.213593752	0.197836825	0.175192043	4.583086837	21.47314317
1001	sb1	spb1	1	1001 and 1002	A641	Ames 19311	HN	6-Jul	29.74737927	0.231999161	0.307900253	0.12166366	0.160855111	0.229376575	0.19208171	1.691476736	4.620417109
1001	sb1	spb1	1	1001 and 1002	A641	Ames 19311	HN	1-Sep	15.18972581	0.273116874	0.406310194	0.104643904	0.201080286	0.208901548	0.187376879	4.425554347	18.41068655
1001	sb1	spb1	1	1001 and 1002	A641	Ames 19311	HN	3-Sep	13.53672776	0.378292315	0.561582666	0.169513758	0.278288952	0.338143172	0.309345055	6.091583608	22.56891525
1001	sb1	spb1	1	1001 and 1002	A641	Ames 19311	HN	5-Sep	8.183619459	0.318849721	0.466908613	0.240110115	0.232792839	0.475182547	0.463741928	3.993749006	6.054473542
1003	sb1	spb1	1	1003 and 1004	B76	PI 550483	HN	12-Aug	72.86029342	0.364764043	0.53703449	0.17191324	0.267208101	0.342906829	0.304220473	4.662029386	11.06404609
1003	sb1	spb1	1	1003 and 1004	B76	PI 550483	HN	14-Aug	68.74322266	0.287761225	0.422918584	0.125395489	0.209845544	0.249822179	0.216563163	3.39219419	8.616826012
1003	sb1	spb1	1	1003 and 1004	B76	PI 550483	HN	16-Aug	71.85679269	0.481120378	0.7087973	0.287816895	0.353890175	0.573813501	0.535938368	7.404624085	15.50840714
1003	sb1	spb1	1	1003 and 1004	B76	PI 550483	HN	20-Aug	74.09559161	0.29936804	0.440511814	0.136354319	0.218782741	0.271685002	0.239435381	3.712370615	9.966689207
1003	sb1	spb1	1	1003 and 1004	B76	PI 550483	HN	22-Aug	75.43453683	0.308770629	0.456480117	0.131112148	0.226328022	0.261623757	0.230548206	4.060013246	12.02071962
1003	sb1	spb1	1	1003 and 1004	B76	PI 550483	HN	23-Aug	75.10951959	0.299628397	0.438325254	0.133674859	0.217846306	0.265999905	0.228052484	3.11219757	8.242591819
1003	sb1	spb1	1	1003 and 1004	B76	PI 550483	HN	26-Aug	72.0673193	0.360163285	0.535891327	0.118944849	0.263031306	0.237154573	0.202112358	4.267866121	21.4581152
1003	sb1	spb1	1	1003 and 1004	B76	PI 550483	HN	30-Aug	75.11395325	0.296238215	0.440188188	0.109293752	0.217287159	0.21819494	0.190437412	3.967539388	14.88355711
1003	sb1	spb1	1	1003 and 1004	B76	PI 550483	HN	6-Jul	47.45145214	0.304188688	0.374154937	0.175818017	0.204188759	0.320254272	0.268217134	1.69794814	2.562011459
1003	sb1	spb1	1	1003 and 1004	B76	PI 550483	HN	1-Sep	74.38293439	0.229962097	0.343690587	0.071262274	0.168801563	0.142304755	0.123321	3.307042065	16.32487616
1003	sb1	spb1	1	1003 and 1004	B76	PI 550483	HN	3-Sep	61.73542298	0.298418677	0.448989145	0.081661777	0.219181179	0.162945459	0.144048499	4.4780468	25.423886
1003	sb1	spb1	1	1003 and 1004	B76	PI 550483	HN	5-Sep	67.1826634	0.260113162	0.385773122	0.096542629	0.189978331	0.192200906	0.167525897	3.327759876	15.17623552
1005	sb1	spb1	1	1005 and 1006	A654	PI 587141	HN	12-Aug	49.73883498	0.317459742	0.470875144	0.116189839	0.232371249	0.231899631	0.199855734	4.043852927	15.87442508
1005	sb1	spb1	1	1005 and 1006	A654	PI 587141	HN	14-Aug	48.22784039	0.248213094	0.369367504	0.080124157	0.181174846	0.15985364	0.134862953	3.010785822	13.44667996
1005	sb1	spb1	1	1005 and 1006	A654	PI 587141	HN	16-Aug	44.14015277	0.46032022	0.678019754	0.257638193	0.33854436	0.5140875	0.472934144	7.050098408	11.76981805
1005	sb1	spb1	1	1005 and 1006	A654	PI 587141	HN	20-Aug	54.37665631	0.253125689	0.376410715	0.086621034	0.185103211	0.172831197	0.148159102	3.201254847	13.7475232
