Sample_ID	MM_name	nitrogen	block	sp	spb	subsample	row	ceil_id
HAV_2281	CHECK2	HN	N	sp1	spb1	rep1	1013	c_507
HAV_2282	CML228	HN	N	sp1	spb1	rep1	1015	c_508
HAV_2283	CML228	HN	N	sp1	spb1	rep2	1016	c_508
HAV_2284	CHECK2	HN	N	sp1	spb2	rep1	1026	c_513
HAV_2285	CHECK2	HN	N	sp1	spb3	rep1	1047	c_524
HAV_2286	CHECK	HN	N	sp2	spb2	rep1	1066	c_533
HAV_2287	CHECK2	HN	N	sp2	spb2	rep1	1069	c_535
HAV_2288	CHECK	HN	N	sp1	spb1	rep1	1109	c_555
HAV_2289	CML69	HN	N	sp1	spb2	rep1	1127	c_564
HAV_2290	CML69	HN	N	sp1	spb2	rep2	1128	c_564
HAV_2291	CHECK	HN	N	sp1	spb2	rep1	1130	c_565
HAV_2292	T232	HN	N	sp1	spb3	rep1	1133	c_567
HAV_2293	T232	HN	N	sp1	spb3	rep2	1134	c_567
HAV_2294	TZI8	HN	N	sp1	spb3	rep1	1135	c_568
HAV_2295	TZI8	HN	N	sp1	spb3	rep2	1136	c_568
HAV_2296	MS71	HN	N	sp1	spb3	rep1	1143	c_572
HAV_2297	MS71	HN	N	sp1	spb3	rep2	1144	c_572
HAV_2298	CHECK	HN	N	sp2	spb1	rep1	1164	c_582
HAV_2299	SD44	HN	N	sp2	spb3	rep1	1183	c_592
HAV_2300	SD44	HN	N	sp2	spb3	rep2	1184	c_592
HAV_2301	CHECK2	HN	N	sp2	spb3	rep1	1186	c_593
HAV_2302	CHECK	HN	N	sp2	spb3	rep1	1190	c_595
HAV_2303	CML333	HN	N	sp1	spb1	rep1	1201	c_601
HAV_2304	CML333	HN	N	sp1	spb1	rep2	1202	c_601
HAV_2305	CML277	HN	N	sp1	spb1	rep1	1207	c_604
HAV_2306	CML277	HN	N	sp1	spb1	rep2	1208	c_604
HAV_2307	CML52	HN	N	sp1	spb2	rep1	1219	c_610
HAV_2308	CML52	HN	N	sp1	spb2	rep2	1220	c_610
HAV_2309	CHECK	HN	N	sp1	spb3	rep1	1243	c_622
HAV_2310	A554	HN	N	sp2	spb1	rep1	1249	c_625
HAV_2311	A554	HN	N	sp2	spb1	rep2	1250	c_625
HAV_2312	B76	HN	N	sp2	spb1	rep1	1261	c_631
HAV_2313	B76	HN	N	sp2	spb1	rep2	1262	c_631
HAV_2314	CHECK2	HN	N	sp2	spb1	rep1	1263	c_632
HAV_2315	MT42	HN	N	sp2	spb2	rep1	1269	c_635
HAV_2316	MT42	HN	N	sp2	spb2	rep2	1270	c_635
HAV_2317	OH43	HN	N	sp2	spb3	rep1	1287	c_644
HAV_2318	OH43	HN	N	sp2	spb3	rep2	1288	c_644
HAV_2319	B73	HN	N	sp3	spb1	rep1	1305	c_653
HAV_2320	B73	HN	N	sp3	spb1	rep2	1306	c_653
HAV_2321	CML103	HN	N	sp3	spb2	rep1	1327	c_664
HAV_2322	CML103	HN	N	sp3	spb2	rep2	1328	c_664
HAV_2323	CHECK2	HN	N	sp3	spb2	rep1	1332	c_666
HAV_2324	CHECK	HN	N	sp3	spb3	rep1	1335	c_668
HAV_2325	CHECK2	HN	N	sp3	spb3	rep1	1341	c_671
HAV_2326	CHECK	HN	N	sp4	spb1	rep1	1364	c_682
HAV_2327	NC350	HN	N	sp4	spb2	rep1	1369	c_685
HAV_2328	NC350	HN	N	sp4	spb2	rep2	1370	c_685
HAV_2329	CHECK2	HN	N	sp4	spb2	rep1	1372	c_686
HAV_2330	VA102	HN	N	sp4	spb3	rep1	1383	c_692
HAV_2331	VA102	HN	N	sp4	spb3	rep2	1384	c_692
HAV_2332	OH603	HN	N	sp4	spb3	rep1	1389	c_695
HAV_2333	OH603	HN	N	sp4	spb3	rep2	1390	c_695
HAV_2334	CHECK2	HN	N	sp4	spb3	rep1	1395	c_698
HAV_2335	CHECK	HN	N	sp3	spb1	rep1	1403	c_702
HAV_2336	CHECK	HN	N	sp3	spb2	rep1	1423	c_712
HAV_2337	IL14H	HN	N	sp3	spb2	rep1	1425	c_713
HAV_2338	IL14H	HN	N	sp3	spb2	rep2	1426	c_713
HAV_2339	RTH3	HN	N	sp3	spb2	rep1	1427	c_714
HAV_2340	RTH3	HN	N	sp3	spb2	rep2	1428	c_714
HAV_2341	N28HT	HN	N	sp4	spb2	rep1	1475	c_738
HAV_2342	N28HT	HN	N	sp4	spb2	rep2	1476	c_738
