asv	coef	trait	date	nitrogen	abs_coef	rank	top1p	top100	Functional_Tax_Group
asv_000001	0.000125666563227013	GLI	Sept5	overall	0.000125666563227013	7	1	1	Ralstonia pickettii
asv_000001	0.000156005141762173	ExG	Sept5	overall	0.000156005141762173	8	1	1	Ralstonia pickettii
asv_000001	0.000215162820665969	RGB	Sept5	overall	0.000215162820665969	9	1	1	Ralstonia pickettii
asv_000001	0.000240798127672205	NGR	Sept5	overall	0.000240798127672205	17	1	1	Ralstonia pickettii
asv_000001	0.000484602585443731	MGR	Sept5	overall	0.000484602585443731	17	1	1	Ralstonia pickettii
asv_000001	0.000464652640862113	VARI	Sept5	overall	0.000464652640862113	16	1	1	Ralstonia pickettii
asv_000004	0.000210775152727002	NGR	Sept5	overall	0.000210775152727002	30	1	1	Ralstonia pickettii
asv_000004	0.000144021318449694	ExG	Sept5	overall	0.000144021318449694	13	1	1	Ralstonia pickettii
asv_000004	0.000199379954434076	RGB	Sept5	overall	0.000199379954434076	14	1	1	Ralstonia pickettii
asv_000004	0.0124148694286381	VEG	Sept5	overall	0.0124148694286381	23	1	1	Ralstonia pickettii
asv_000004	0.000116649874918393	GLI	Sept5	overall	0.000116649874918393	14	1	1	Ralstonia pickettii
asv_000004	0.000425019129436317	MGR	Sept5	overall	0.000425019129436317	30	1	1	Ralstonia pickettii
asv_000007	0.000213242548165569	NGR	Sept5	overall	0.000213242548165569	29	1	1	Ralstonia pickettii
asv_000007	0.000428375172298707	MGR	Sept5	overall	0.000428375172298707	29	1	1	Ralstonia pickettii
asv_000007	0.000116007423357031	GLI	Sept5	overall	0.000116007423357031	16	1	1	Ralstonia pickettii
asv_000007	0.000198753561459482	RGB	Sept5	overall	0.000198753561459482	15	1	1	Ralstonia pickettii
asv_000007	0.000145198673926044	ExG	Sept5	overall	0.000145198673926044	11	1	1	Ralstonia pickettii
asv_000011	0.000199395118607482	RGB	Sept5	overall	0.000199395118607482	13	1	1	Ralstonia pickettii
asv_000011	0.000115552055432141	GLI	Sept5	overall	0.000115552055432141	17	1	1	Ralstonia pickettii
asv_000011	0.000144968986519418	ExG	Sept5	overall	0.000144968986519418	12	1	1	Ralstonia pickettii
asv_000011	0.000429208669836408	MGR	Sept5	overall	0.000429208669836408	28	1	1	Ralstonia pickettii
asv_000011	0.000213993820650526	NGR	Sept5	overall	0.000213993820650526	28	1	1	Ralstonia pickettii
asv_000012	0.00048110117496585	MGR	Sept5	overall	0.00048110117496585	19	1	1	Ralstonia pickettii
asv_000012	0.000461573001180327	VARI	Sept5	overall	0.000461573001180327	18	1	1	Ralstonia pickettii
asv_000012	0.000121448809256624	GLI	Sept5	overall	0.000121448809256624	11	1	1	Ralstonia pickettii
asv_000012	0.000152048472340922	ExG	Sept5	overall	0.000152048472340922	10	1	1	Ralstonia pickettii
asv_000012	0.000239264645086065	NGR	Sept5	overall	0.000239264645086065	19	1	1	Ralstonia pickettii
asv_000012	0.000209924371713777	RGB	Sept5	overall	0.000209924371713777	10	1	1	Ralstonia pickettii
asv_000021	-0.000895038005131643	MGR	Aug22	overall	0.000895038005131643	23	1	1	Enterobacter
asv_000021	-0.000812207006620184	VARI	Aug22	overall	0.000812207006620184	19	1	1	Enterobacter
asv_000021	-0.000463673120779919	NGR	Aug22	overall	0.000463673120779919	23	1	1	Enterobacter
asv_000032	-0.000438662257846875	NGR	Aug22	overall	0.000438662257846875	30	1	1	Enterobacter
asv_000032	-0.000763547770501665	VARI	Aug22	overall	0.000763547770501665	28	1	1	Enterobacter
asv_000032	-0.000847645608018648	MGR	Aug22	overall	0.000847645608018648	29	1	1	Enterobacter
asv_000032	-0.000236940645684926	GLI	Aug22	overall	0.000236940645684926	33	1	1	Enterobacter
asv_000035	0.000126230697894001	ExG	Sept5	overall	0.000126230697894001	27	1	1	Ralstonia pickettii
asv_000035	0.0160677671532894	VEG	Aug12	overall	0.0160677671532894	29	1	1	Ralstonia pickettii
asv_000035	0.000101509311943845	GLI	Sept5	overall	0.000101509311943845	26	1	1	Ralstonia pickettii
asv_000035	0.000175954252676095	RGB	Sept5	overall	0.000175954252676095	28	1	1	Ralstonia pickettii
asv_000037	0.042209333711469	Woebbecke	Sept5	overall	0.042209333711469	32	1	1	Enterobacter
asv_000052	-0.000128709149299798	ExG	Sept5	overall	0.000128709149299798	23	1	1	Enterobacter
asv_000052	-0.000176777286070634	RGB	Sept5	overall	0.000176777286070634	25	1	1	Enterobacter
asv_000052	-0.000100685427014082	GLI	Sept5	overall	0.000100685427014082	27	1	1	Enterobacter
asv_000068	0.000125117084156427	ExG	Sept5	overall	0.000125117084156427	29	1	1	Ralstonia pickettii
asv_000068	0.0001736482014154	RGB	Sept5	overall	0.0001736482014154	29	1	1	Ralstonia pickettii
asv_000068	9.96784070408109e-05	GLI	Sept5	overall	9.96784070408109e-05	30	1	1	Ralstonia pickettii
asv_000085	-0.000168633543332038	RGB	Sept5	overall	0.000168633543332038	31	1	1	Dyella jiangningensis
asv_000085	-0.000121181681094074	ExG	Sept5	overall	0.000121181681094074	31	1	1	Dyella jiangningensis
asv_000092	0.000432417207094086	NGR	Aug22	overall	0.000432417207094086	33	1	1	Massilia putida
asv_000092	0.0154012901925762	VEG	Sept5	overall	0.0154012901925762	6	1	1	Massilia putida
asv_000092	0.000761998937440833	VARI	Aug22	overall	0.000761998937440833	29	1	1	Massilia putida
asv_000092	0.0173979567318334	VEG	Aug12	overall	0.0173979567318334	15	1	1	Massilia putida
asv_000092	0.000821402153970797	MGR	Aug22	overall	0.000821402153970797	35	1	1	Massilia putida
asv_000095	0.00190219099245652	MGR	Aug12	overall	0.00190219099245652	16	1	1	Acinetobacter nosocomialis
asv_000095	0.000143667127036926	ExG	Sept5	overall	0.000143667127036926	14	1	1	Acinetobacter nosocomialis
asv_000095	0.000202846561611464	RGB	Sept5	overall	0.000202846561611464	11	1	1	Acinetobacter nosocomialis
asv_000095	0.000121966984920074	GLI	Sept5	overall	0.000121966984920074	10	1	1	Acinetobacter nosocomialis
asv_000095	0.0009539906643948	NGR	Aug12	overall	0.0009539906643948	16	1	1	Acinetobacter nosocomialis
asv_000095	0.00181900796323773	VARI	Aug12	overall	0.00181900796323773	7	1	1	Acinetobacter nosocomialis
asv_000095	0.0180610245100539	VEG	Sept5	overall	0.0180610245100539	2	1	1	Acinetobacter nosocomialis
asv_000095	0.000322577248068471	NGR	Sept5	overall	0.000322577248068471	3	1	1	Acinetobacter nosocomialis
asv_000095	0.0206339412764932	VEG	Aug12	overall	0.0206339412764932	5	1	1	Acinetobacter nosocomialis
