row	Weight.of.20.seeds	Average.cob.length	Average.cob.weight	Average.cob.width
1001		10.9		
1003	6.4	12.76666667	18.63333333	26.26666667
1005		14.96666667		
1007	5.5	11.85	8.35	19.9
1009	6	16.25	14.4	20.4
1011				
1013	4.8	9.733333333	9.633333333	20.76666667
1015		9.533333333	6.45	21.11666667
1017	6.6	18.68333333	21.23333333	23.63333333
1019	3.1	11.31666667	9.4	19.83333333
1021	4.1	10.58333333	16.23333333	25.9
1023		12.06666667	16.26666667	23.33333333
1025		15.55	20.92	26.02
1027	4	12.31666667	9.7	20.83333333
1029	5.7	12.26666667	14.6	26.33333333
1031		14.7	13.175	22.975
1033	5.7	14.08333333	15.5	21.26666667
1035		11.275		
1037		8.866666667	8.916666667	20.7
1039	3.5	14.58333333	14.93333333	20.43333333
1041	6.4	19.4	18.56666667	20.96666667
1043	4.5	11.18333333	12.53333333	21
1045		8.1	6.766666667	24.1
1047		19.06666667	21.81666667	22.43333333
1049	3.9	11.25	7.133333333	19.5
1051	6.5	18.51666667	17.2	21.3
1053		15.65	19.78333333	24.35
1055	6.6	12.55	11.2	19.3
1057	6.4	16.75	14.93333333	20.03333333
1059		7.9	3.36	18.62
1061		11.78	14.46	26.96
1063	4.6	11.21666667	7.266666667	18.86666667
1065	5.7	17.46666667	15.56666667	19.4
1067	5.3	14.83333333	8.466666667	21.93333333
1069	6.5	11.96666667	9	20.66666667
1071		11.88	13.12	23.2
1073	5.9	15.43333333	14.33333333	20.06666667
1075	5.2	14.56666667	10.9	19.8
1077	3.5	8.1	5.7	19.93333333
1079		17	14.75	21.28333333
1081	4.7	11	8.9	19.66666667
1083	2.8	14.65	9.233333333	15.86666667
1101	3.9	13.18333333	16.06666667	24.73333333
1103	6.8	12.71666667	14.8	22.56666667
1105	5.7	11.21666667	11.1	20.85
1107	5.1	13.13333333	12.43333333	22.1
1109	5.6	17.6	17.03333333	21.83333333
1111		10.8	8.933333333	26.5
1113		11.98333333	16.06666667	26.73333333
1115				
1117		11.65	10.21666667	22.85
1119		6.75	5.2	20.26666667
1121				
1123		13.18333333	9.916666667	20.13333333
1125	3.9	12.81666667	8.633333333	20.9
1127		9.033333333	7.44	20.74
1129		4		
1131	7	19.38333333	20.4	21.7
1133	5.3	8.371428571	7.033333333	16.5
1135	4.3	14.43333333	25.23333333	28.7
1137	5.2	16.56666667	17.36666667	24.3
1139	6.3	17.73333333	19.43333333	21.8
1141		9.233333333	5.116666667	19.28333333
1143	6.8	12.71666667	15.86666667	26.6
1145	5	11.63333333	14.03333333	29.43333333
1147		13.26	10.5	21.16
1149		12.66666667	11.21666667	24.33333333
1151	4.6	17	32.1	27.675
1153	5.2	13.86666667	21.93333333	25.76666667
1155	3.9	12.75	13.8	24.13333333
1157		10.65	10.01666667	23.03333333
1159		11.98333333	11.36666667	20.95
1161	5	13.75	17.2	24.66666667
1163		12.8		
1165	6	13.21666667	10.13333333	20.93333333
1167		11.26666667	12.15	23.2
1169	4.4	13.93333333	12.8	20.33333333
1171	5.5	14.45	16.16666667	25.23333333
1173		11.58	12.5	19.4
1175	5.2	16.83333333	22.26666667	22.93333333
1177		9.166666667	6.22	21.48
1179				
1181		11.25	9.071428571	22.1
1183		11.06666667	7.6	22.1
1201	5	10.47142857	16.5	21.425
1203	5.7	14.95	17.43333333	22.96666667
1205	4.8	16.43333333	20.36666667	25.76666667
1207	6.2	13.51666667	24.83333333	30.16666667
1209	5.5	11.45	16.73333333	25.7
1211	4.7	14.88333333	14	20.36666667
1213		12.66666667	20.48333333	24.13333333
1215	4.2	15.58333333	11.73333333	19.6
1217	4.3	12.81666667	10.96666667	24.26666667
1219		12.66666667	19.8	28.76666667
1221	5.4	14.5	14.96666667	19.86666667
1223		14.06666667	17.56666667	21.76666667
1225	4.5	12.18333333	13.86666667	22.4
1227		9.583333333	8.733333333	21.41666667
1229		12.8	22.73333333	25.26666667
1231	4.4	11.6	8.7	17.16666667
1233		13.225	3.65	17.45
1235	6	13.83333333	12.8	20.3
1237	5.4	12.35	15.33333333	21.53333333
1239		12.38333333	11.05	20.28333333
1241		13.21666667	10	19.73333333
1243	4.8	12.55	10.46666667	22.1
1245		16.55		
1247		10.96666667	16.3	23.4
1249	4.9		19.13333333	22.93333333
1251	4.4	13.98333333	24.23333333	28.53333333
1253		13.43333333	25.56666667	27.01666667
1255	6.2	12.35	10.43333333	21.9
1257		13.2	8.45	20.15
1259	5.1	14.06666667	28.8	31.1
1261	5.1	15.4	18.53333333	27.73333333
1263	5.3	12.55	16.53333333	26.76666667
1265	4.3	9.9	7.466666667	20.6
1267	4.1	12.6	13.36666667	23.26666667
1269		12.2	17.03333333	23.98333333
1271	6	18	19.4	21.85
1273	3.7	12.65	15.43333333	21
1275	2.8	13.45	11.13333333	17.9
1277	5.1	13.75714286	12.825	21.675
1279		14.5	11.88333333	21.4
1281		12.28	19	21.66
1283	4.6	15.51666667	22.5	25.36666667
1301	4.3	13.8	15.06666667	22.66666667
1303	3.8	13.71666667	15.23333333	23.96666667
1305	4.3	13.38333333	19.06666667	27.93333333
1307	5.3	17.33333333	15.66666667	20.06666667
1309	4.6	16.03333333	13.83333333	21.23333333
1311	4.2	15.15	9.2	19.3
1313		10.05	3.45	17.75
1315	5.8	16.58333333	19	22.5
1317		11.31666667	7.95	21.85
1319	5.6	12.45	8.7	18.06666667
1321	5.3	15.11666667	13.46666667	20.36666667
1323	7.3	16.5	16.5	19.86666667
1325	4.1	11.78333333	10.96666667	21.76666667
1327		15.2	12.2	20.5
1329	3.3	14.01666667	17.06666667	27.23333333
1331	6.4	17.9	18.03333333	22.43333333
1333	4.1	12.58333333	14.16666667	23.27
1335	5.4	15.98333333	15.63333333	20.4
1337	6	17.55	18.2	21.56666667
1339	6.7	10.93333333	13.23333333	26.26666667
1341	5.1	13.78333333	15	23.53333333
1343	5	13.27571429	17.05	23.725
1345		17.2	26.6	25.05
1347		16.48333333	21.1	23.11666667
1349		15.88333333	17.8	24.28
1351	4.9	15.85	22.03333333	23.7
1353	4.1	14.2	21.7	26.7
1355	3.9	13.98333333	14.63333333	21.56666667
1357	4.8	18.75	15.33333333	19.73333333
1359	3.9	11.61666667	9.366666667	21.46666667
1361		14.9	14.4	21.4
1363	5.1	14.35	16.6	23.7
1365	4.6	12.56666667	17.23333333	23.6
1367		13.6	19	22.91666667
1369	6.6	17.28333333	13.96666667	19.23333333
1371		10.08571429	11.84285714	20.71666667
1373	7.2	20.01666667	21.76666667	20.3
1375	5.5	15.38571429	11.6	18.6
1377		10.84	8.028571429	19.28333333
1379	4.4	16.9	15.475	21.65
1381		7.58	9.66	24.42
1383		14.38333333	14.63333333	20.38333333
1401		10.67142857	12.81428571	23.43333333
1403	5.4	17.55	13.2	19.2
1405	4	12.5	14.23333333	21.23333333
1407	3.5	13.95	10.36666667	20.66666667
1409	5.3	17.33333333	13.96666667	19.46666667
1411		9.25	5.85	18.575
1413	2.8	12.86666667	14.76666667	20.16666667
1415	6.1	11.98333333	9.7	23.9
1417	5.2	11.55	14.63333333	22.9
1419	3.9	12.16666667	7.666666667	15.93333333
1421		8.866666667	6.6	20.9
1423		12.12	11.1	22.92
1425	4.7	11.9	14.73333333	22.53333333
1427	3.6	11.45	7.8	16.86666667
1429	4.5	11.33333333	11.1	22.76666667
1431		12.44	6.25	19.975
1433		12.35	7.833333333	19.96666667
1435	5.2	14.25	22.63333333	27.5
1437		10.9	15.82	26.46
1439	5.4		15.16666667	20.73333333
1441		11.3	13.5	22.23333333
1443	6.2	12.11428571	13.65	23.25
1445		11.75	20.25	25.15
1447	5	15.33333333	10.2	20.63333333
1449	3.8	7.385714286	9.4	22.76666667
1451	5.2	15.34285714	26.075	26
1453	5.8	13.2	17.93333333	26
1455	4.7	13.93333333	18.13333333	24.66666667
1457	5.2	12.2	14.4	23.93333333
1459	4.7	16.95	21.3	21.03333333
1461		13.11666667	18.11666667	24.03333333
1463	3.9	18.11666667	19.26666667	22.76666667
1465	6.8	10.33333333	13.63333333	23.43333333
1467	5.5	18.86666667	19.43333333	21.63333333
1469	3.1	12.68333333	16.83333333	25.06666667
1471		18.25714286	35.4	26.61666667
1473	2.6	11.81666667	7.533333333	17.86666667
1475	5.8	14.76666667	16.83333333	23.43333333
1477	4.3	12.91666667	18.8	25.13333333
1479	5.6	10.36666667	13.43333333	20.56666667
1481		16.48	23.74	23.88
1483	5.1	16.93333333	12.63333333	18.06666667
1501	5.8	17.6	16.76666667	22.5
1503	6	16.86666667	11.5	19.03333333
1505		17.98333333	21.91666667	23.68333333
1507	3.9	12.8	14.35	24.675
1509		11.18333333	18.4	24.42
1511	4.6	15.71666667	12.5	20.73333333
1513		12.47142857	11.66666667	21.75
1515		15.28	33	31.24
1517	6.3	18.2	18.83333333	20.8
1519		9.85	10.78333333	23
1521	4.4	11.53333333	6.9	19.8
1523	5	15.78333333	12.7	20.3
1525	6.4	19.85	20.96666667	20.66666667
1527	5.6	13.6	18.7	24.86666667
1529				
1531	5.2	12.91666667	12.2	19.83333333
1533		11.225	9.175	19.775
1535	4.2	11.18571429	16.8	23.325
1537	4.7	12.93333333	14.63333333	24
1539		14.43333333	16.98333333	25.46666667
1541	5.1	14.03333333	19.66666667	25.16666667
1543		12.93333333	17.06666667	26.76666667
1545		13.14	10.88	18.8
1547		11.13333333	7.316666667	21.7
1549	5.8	19.41666667	17.23333333	20.86666667
1551		14.26	11.72	24.26
1553	3.8	15.15	12.86666667	23.8
1555	4.7	15.95	13.83333333	20.23333333
1557	5.5	13.63333333	16.2	23.16666667
1559		13.08	20.12	27.48
1561	4.2	11.21428571	14	25.175
1563	3.8	12.56666667	13.6	25.8
1565		15.83333333	25.83333333	28.38333333
1567		10.08571429	7.457142857	22.05
1569	4.2	13.3	15.43333333	23.4
1571	4.4	16.23333333	18.03333333	25.8
1573	3.9	16.78333333	18.43333333	22.93333333
1575	3.2	13.1	15.06666667	21.7
1577	4.9	13.37142857	9.425	23.25
1579	5.2	13.23333333	19.2	24.46666667
1581	2.8	13.66666667	13.86666667	22.73333333
1583	4.3	13.68571429	11.7	22.7
2001	1.7	11.88571429	8.975	17.325
2003	5.7		13.9	24.46666667
2005		18.81666667	26.41666667	24.88333333
2007		14.11666667	25.08333333	29.36666667
2009		13.8	14.45	24.96666667
2011	5.8	18.73333333	18.86666667	21.96666667
2013	4.4	12.96666667	20.3	28.3
2015		11.13333333		
2017	5.1	14.06666667	26.03333333	31.66666667
2019		14.2	19.8	27.23333333
2021		9.983333333	10.4	22.8
2023	6.2	13.08333333	9.866666667	22.53333333
2025	5.6	18.43333333	16.3	21.4
2027	6.7	15.45	12.36666667	22.16666667
2029	2.7	12.3	9.225	18.4
2031		13.06666667	12.15	22.01666667
2033		13.21666667	17.66666667	27.13333333
2035		11.875	11.6	20.2
2037		13.21666667	10.83333333	22.65
2039	2.3	14.43333333	9.2	15.96666667
2041	2.8		5.966666667	17.5
2043	3.9	8.333333333	8.833333333	21.86666667
2045	5.7	12.06666667	16.46666667	24.53333333
2047	4.8	11.8	11.1	21.975
2049	6.6		18.56666667	22.46666667
2051		8.725	10.4	25.9
2053		15.26	15.58	22.88
2055		11.9	15.86666667	25.56666667
2057	3.1	12.55	9.975	19.85
2059	4.3	11.88333333	14.36666667	24.33333333
2061		11.23333333	14.65	20.73333333
2063	4.8	10.61428571	6.475	19.125
2065		11.23333333	11.06666667	26.11666667
2067	3.8	9.642857143	7.45	22.7
2069	3.6	10.26666667	12.6	20.23333333
2071	3.9	13.15	16.8	26.46666667
2073	3.6	12.57777778	11.22	19.52
2075	4	17.63333333	10.55	24.25
2077		7.7	1.7	17.8
2079		10.66	10.82	21.6
2081		8.1	8.9	22.3
2083		13.375	7.15	21.875
2101	4.6	14.85	12.9	19.73333333
2103	4.2	9.933333333	9.166666667	21.36666667
2105		16.88333333		
2107		15.38571429		
2109		14.05		
2111		10.58333333		
2113	5	13.05	11.7	24.46666667
2115		8.86		
2117		10.45	9.283333333	22.71666667
2119	4.9	13.75	11.8	21.43333333
2121		9.86		
2123		11.18	9.04	21.64
2125	4.9	11.51428571	13.03333333	22.43333333
2127		8.866666667	10.41666667	21.88333333
2129		12.88333333		
